dnaN	692	1834
xdj1	1838	2767
gyrB	2869	4821
gyrA	4821	7340
serS	7312	8574
MPN006	8579	9211
holB	9184	9945
trmE	9947	11275
yabD	11275	12060
MPN010	12257	12652
MPN011	12838	13533
MPN012	13558	14265
MPN013	14992	15765
dnaE	15867	16505
MPN015	16482	17339
rimK	17339	18205
mtd1	18180	18989
pmd1	19325	21196
msbA	21108	23012
yb95	23022	26114
dnaJ	26160	27332
pip	27316	28245
metS	28245	29783
rpoE	29804	30244
tsr	30244	31110
yyaF	31111	32199
MPN027	32202	33026
trsB	33059	33958
efp	33979	34551
MPN030	34469	34975
MPN031	34975	35586
MPN032	35810	36136
upp	36140	36760
polC	36800	41131
MPN035	41409	43409
MPN036	43581	45602
MPN037	45770	46213
MPN038	46442	46792
MPN042	49292	51310
glpF	51634	52428
MPN044a	52399	52533
tdk	52475	53050
hisS	53077	54321
aspS	54293	55966
MPN047	55942	57297
MPN047a	56276	56356
MPN048a	56969	57229
MPN048	57886	59442
MPN049	59619	61517
glpK	61977	63503
glpD	63494	64648
MPN052	64831	66804
ptsH	66822	67088
MPN054	68627	68998
potA	70404	72086
potB	72088	72948
potI	72941	73801
MPN058	73786	75243
gcp	75243	76202
metX	76186	77337
MPN060a	77313	77594
ffh	77625	78977
deoD	79033	79749
deoC	79753	80427
deoA	80414	81679
cdd	81690	82091
cpsG	82081	83745
nusG	83713	84675
secE	84683	85060
rpmG	85066	85212
MPN070	85228	85611
yabC	85598	86428
yabF	86410	86946
prs	86925	88091
smpB	87898	88341
ywdF	88348	89247
uhpT	89299	90993
MPN077	91199	92839
fruA	93191	95275
fruK	95268	96170
MPN080	96407	100567
glnQ	100567	101964
tklB	101985	103931
MPN083	103941	105542
MPN084	105592	107166
MPN085	107273	108595
MPN086	108857	109174
MPN087	109346	109798
MPN088	110813	111118
hsdS	111610	112617
MPN090	112772	113761
MPN094	116287	116709
MPN095	123290	124054
MPN096	124054	124848
MPN100	129458	130009
MPN101	130466	131752
MPN103	134055	134573
MPN104	134583	134897
MPN104a	135094	135360
pheS	135731	136756
pheT	136759	139176
MPN107	139289	140044
MPN108	140046	141260
MPN109	141940	142437
MPN110	142361	144517
MPN111	145021	146289
MPN112	147149	147541
cpt2	148751	150553
infC	150643	151248
rpmI	151254	151433
rplT	151444	151827
MPN118	151802	152512
MPN119	152568	155300
grpE	155323	155976
MPN121	155976	156341
parB	156467	158374
parC	158374	160743
hrcA	160730	161785
uvrC	161817	163577
MPN126	163613	164092
MPN129	167632	168081
MPN130	169042	169464
MPN131	170068	170733
MPN132	171049	171819
MPN133	172277	173182
ugpC	173206	174966
ugpA	174959	175948
MPN135a	175599	175661
ugpE	175920	176879
MPN137	177457	178143
MPN138	178392	178892
MPN139	179129	179620
orf4	179871	180845
P1	180858	185741
orf6	185747	189403
MPN143	189520	190047
MPN144	190621	191862
MPN145	192214	192753
MPN148	195554	196297
MPN149	196850	198154
MPN150	197982	198656
MPN151	199139	199540
MPN152	199823	202207
MPN153	202383	205724
MPN153a	205250	205468
nusA	205801	207423
MPN155a	207448	207717
infB	207704	209557
rbfA	209560	209910
MPN157	209926	211134
yaaC	211147	211956
hlyC	211982	213256
MPN160	213243	214376
MPN161	214530	215867
MPN162	215989	216951
MPN163	217198	217536
rpsJ	217630	217956
rplC	217970	218833
rplD	218833	219471
rplW	219474	220187
rplB	220187	221050
rpsS	221050	221313
rplV	221240	221794
rpsC	221796	222617
rplP	222617	223036
rpmC	223036	223371
rpsQ	223371	223628
rplN	223632	224000
rplX	224000	224335
rplE	224338	224880
MPN177a	224702	224809
rpsN	224882	225067
rpsH	225061	225489
rplF	225496	226050
rplR	226051	226401
rpsE	226405	227064
rplO	227068	227523
secY	227523	228956
adk	228950	229597
map	229597	230343
infA	230343	230579
rpmJ	230590	230703
rpsM	230703	231077
rpsK	231077	231442
rpoA	231448	232431
rplQ	232434	232808
cbiO	232792	233616
cbiO	233604	234515
MPN194a	234029	234307
MPN195	234508	235812
truA	235805	236536
pepF	236529	238364
mte1	238364	239323
MPN199	239417	241699
MPN199a	240826	240972
MPN200a	241575	241853
MPN200	241983	244379
MPN201	244484	245569
MPN202	246049	246990
MPN204	247655	248101
MPN205	248562	249878
MPN207a	250000	250293
ptsG	250326	253148
rpsB	253758	254642
mgtA	254635	257253
secA	257240	259666
uvrB	259641	261614
MPN212	261617	262024
MPN213	262129	265221
MPN214	265218	265634
oppB	265910	267079
amiD	267072	268202
oppD	268204	269475
oppF	269438	271993
MPN218a	271848	271988
rplK	272049	272462
rplA	272462	273142
pth	273142	273708
yacA	273701	274570
MPN223	274571	275509
lgt	275499	276668
rpsL	276697	277116
MPN225a	276784	276966
rpsG	277170	277637
fus	277660	279726
rpsF	279783	280430
ssb	280430	280930
rpsR	280920	281234
rplI	281237	281686
dnaB	281673	283094
MPN233	283098	284462
MPN234	284542	286443
ung	286468	287190
MPN236	287388	288827
gatA	288830	290266
gatB	290256	291692
MPN239	291667	292335
trxB	292328	293275
MPN241	293265	294107
secG	294140	294370
vacB	294381	296561
MPN244	296561	297169
def	297138	297788
gmk	297610	298329
ptc1	298329	299108
MPN248	299099	300268
yjeQ	300255	301091
pgi	301113	302405
cfxE	302383	303030
asnC	303037	304404
pgsA	304361	305044
MPN253a	304786	304920
MPN254	305066	305539
MPN255	305565	306320
MPN256	306313	306984
MPN256a	306655	306771
galE	306965	307981
yjcW	307996	309714
MPN259	309731	311284
rbsC	311284	312219
topA	312256	314391
A65_orf475	314381	315808
trx	315874	316182
MPN264	316194	317039
trpS	317047	318087
ygl1	318144	318581
ppnK	318581	319360
MPN268	319360	319713
ysr1	319703	321184
MPN269a	321162	321251
MPN270	321187	321474
MPN271	321736	322491
MPN271a	322130	322333
MPN272	324197	324478
hit1	324455	324889
A65_orf266	324858	325658
yaaK	325680	325982
MPN276	325954	326811
lysS	326856	328325
yefE	328285	329484
MPN278a	329058	329246
lepA	329484	331229
MPN280	331360	333069
MPN283	336479	336826
MPN284	337770	340154
prrB	340244	341533
MPN286	341636	343033
MPN287	343764	344120
MPN288	344716	347079
MPN288a	345137	345265
hsdS1B	347169	347732
MPN290	347871	348308
MPN291	348301	348891
yceC	348875	349804
lspA	349804	350358
MPN294	350397	351017
MPN295	351066	351728
rpsU	351728	351910
MPN297	351935	352384
acpS	352387	352746
plsB	352734	353534
scpA	353535	355055
scpB	355039	355665
pfkA	355685	356671
pyk	356677	358203
MPN306	360644	361465
arcC	361468	362397
MPN308	362400	364097
P65	364231	365448
MPN310	365468	370924
MPN311	370939	372012
MPN312	372002	372658
MPN313	372741	373013
yabB	373414	373839
mraW	373829	374755
MPN316	374758	376017
MPN316a	375824	375964
ftsZ	376023	377165
MPN318	377208	378683
gap1	378658	380169
thyA	380664	381527
dhfr	381529	382011
nrdF	382018	383037
nrdI	383040	383501
nrdE	383525	385690
rplU	385837	386139
ysxB	386132	386434
rpmA	386427	386741
nfo	386734	387594
MPN329	387548	388024
MPN330	388014	388898
tig	388923	390257
